image_name,card_set,card_number,rarity,card_name,other_names,card_type,attribute,types,race_type,ability_type,level,atk_def,atk,def,password,status,effect_types,ritual_required,property,ritual_monster_required,pendulum_scale,rank,link_arrows,atk_link,atk_link_val,link_rating,other_names_japanese,summoned_by_the_effect_of
BACH-EN092 C.png,Battle of Chaos,BACH-EN092,Common,Fire Opal Head,NA,Monster,FIRE,Dinosaur / Pendulum / Normal,Dinosaur,Pendulum,6,2500 / 1000,2500,1000,28363749,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
RGBT-EN044 SR.png,Raging Battle,RGBT-EN044,Super Rare,Sea Dragon Lord Gishilnodon,NA,Monster,WATER,Sea Serpent / Synchro / Effect,Sea Serpent,Synchro,5,2300 / 1800,2300,1800,76891401,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Trigger'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOD-028 SR.png,Legacy of Darkness,LOD-028,Super Rare,Reinforcement of the Army,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,32807846,"['Limited (Ocg)', 'Limited (Tcg)', 'Unlimited (Tcg Speed Duel)']",['Effect'],NA,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA
TDGS-EN008 R.png,The Duelist Genesis,TDGS-EN008,Rare,Big Piece Golem,NA,Monster,EARTH,Rock / Effect,Rock,Effect,5,2100 / 0,2100,0,25247218,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Unclassified'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EEN-EN038 C.png,Elemental Energy,EEN-EN038,Common,Dark World Lightning,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,93554166,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Effect'],NA,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA
REDU-EN007 C.png,Return of the Duelist,REDU-EN007,Common,Heroic Challenger - Swordshield,NA,Monster,EARTH,Warrior / Effect,Warrior,Effect,4,0 / 2000,0,2000,52370835,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Quick'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIOV-EN075 UR.png,Lightning Overdrive,LIOV-EN075,Ultra Rare,Amaze Attraction Horror House,NA,Trap,NA,NA,NA,NA,NA,NA,NA,NA,92650018,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Effect', 'Quick-like', 'Condition']",NA,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA
LODT-EN034 C.png,Light of Destruction,LODT-EN034,Common,"Interplanetary Invader ""A""",NA,Monster,LIGHT,Reptile / Effect,Reptile,Effect,1,0 / 500,0,500,14729426,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Trigger'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYHO-EN036 C.png,Cybernetic Horizon,CYHO-EN036,Common,Link Devotee,NA,Monster,EARTH,Cyberse / Link / Effect,Cyberse,Link,NA,NA,NA,NA,48068378,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Trigger', 'Trigger', 'Condition']",NA,NA,NA,NA,NA,Top-Center,500 / 1,500,1,NA,NA
GENF-EN089 ScR.png,Generation Force,GENF-EN089,Secret Rare,Smashing Horn,NA,Trap,NA,NA,NA,NA,NA,NA,NA,NA,93396832,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Activation requirement', 'Effect']",NA,Counter,NA,NA,NA,NA,NA,NA,NA,NA,NA
GFP2-EN152 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN152,Ultra Rare,The Flute of Summoning Kuriboh,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,20065322,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Effect'],NA,Quick-Play,NA,NA,NA,NA,NA,NA,NA,NA,NA
STBL-EN049 C.png,Starstrike Blast,STBL-EN049,Common,Scrap Lube,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,22539270,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Effect', 'Lingering', 'Continuous-like', 'Continuous-like', 'Condition']",NA,Continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA
TLM-EN046 R.png,The Lost Millennium,TLM-EN046,Rare,Nitro Unit,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,23842445,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Condition', 'Trigger-like']",NA,Equip,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLAS-EN030 R.png,Gladiator's Assault,GLAS-EN030,Rare,Goblin Black Ops,NA,Monster,DARK,Beast-Warrior / Effect,Beast-Warrior,Effect,4,1300 / 0,1300,0,66707058,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Continuous', 'Continuous']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOB-105 C.png,Legend of Blue Eyes White Dragon,LOB-105,Common,Skull Red Bird,NA,Monster,WIND,Winged Beast,Winged Beast,NA,4,1550 / 1200,1550,1200,10202894,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CORE-EN078 C.png,Clash of Rebellions,CORE-EN078,Common,Balance of Judgment,NA,Trap,NA,NA,NA,NA,NA,NA,NA,NA,67443336,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Activation requirement', 'Effect', 'Condition']",NA,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA
MACR-EN018 SR.png,Maximum Crisis,MACR-EN018,Super Rare,Supreme King Gate Infinity,NA,Monster,DARK,Fiend / Pendulum / Effect,Fiend,Pendulum,7,0 / 0,0,0,22211622,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Pendulum Effect ', 'Continuous-like', 'Condition', 'Ignition-like', 'Monster Effect', 'Ignition', 'Trigger']",NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA
CSOC-EN002 R.png,Crossroads of Chaos,CSOC-EN002,Rare,Turbo Synchron,NA,Monster,WIND,Machine / Tuner / Effect,Machine,Tuner,1,100 / 500,100,500,67270095,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Trigger', 'Trigger']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOB-119 R.png,Legend of Blue Eyes White Dragon,LOB-119,Rare,Pot of Greed,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,55144522,"['Forbidden (Ocg)', 'Forbidden (Tcg Advanced)', 'Limited (Tcg Traditional)']",['Effect'],NA,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA
GFP2-EN016 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN016,Ultra Rare,Shell Knight,NA,Monster,EARTH,Rock / Effect,Rock,Effect,4,0 / 2000,0,2000,10163855,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Trigger', 'Trigger', 'Condition']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHRA-EN096 C.png,Phantom Rage,PHRA-EN096,Common,Myutant Expansion,NA,Trap,NA,NA,NA,NA,NA,NA,NA,NA,60967717,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Effect', 'Continuous-like', 'Condition']",NA,Continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOB-016 C.png,Legend of Blue Eyes White Dragon,LOB-016,Common,Flame Manipulator,NA,Monster,FIRE,Spellcaster / Normal,Spellcaster,Normal,3,900 / 1000,900,1000,34460851,"['Unlimited (Ocg)', 'Unlimited (Tcg)', 'Unlimited (Tcg Speed Duel)']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STOR-EN015 SR.png,Storm of Ragnarok,STOR-EN015,Super Rare,Svartalf of the Nordic Alfar,NA,Monster,DARK,Spellcaster / Tuner / Effect,Spellcaster,Tuner,5,1400 / 1600,1400,1600,77060848,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Trigger'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LON-070 C.png,Labyrinth of Nightmare,LON-070,Common,Garuda the Wind Spirit,NA,Monster,WIND,Winged Beast / Effect,Winged Beast,Effect,4,1600 / 1200,1600,1200,12800777,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Summoning condition', 'Trigger']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOB-032 C.png,Legend of Blue Eyes White Dragon,LOB-032,Common,Root Water,NA,Monster,WATER,Fish,Fish,NA,3,900 / 800,900,800,39004808,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTDN-EN025 C.png,Phantom Darkness,PTDN-EN025,Common,Gemini Lancer,NA,Monster,WATER,Sea Serpent / Gemini,Sea Serpent,Gemini,4,1800 / 1400,1800,1400,26254876,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Unclassified', 'Condition', 'Continuous']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RATE-EN027 SR.png,Raging Tempest,RATE-EN027,Super Rare,"Tierra, Source of Destruction",NA,Monster,LIGHT,Fiend / Effect,Fiend,Effect,11,3400 / 3600,3400,3600,91588074,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Summoning condition', 'Summoning condition', 'Unclassified', 'Trigger', 'Condition']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LON-095 C.png,Labyrinth of Nightmare,LON-095,Common,Cyclon Laser,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,05494820,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Condition', 'Continuous-like', 'Continuous-like']",NA,Equip,NA,NA,NA,NA,NA,NA,NA,NA,NA
RGBT-EN032 C.png,Raging Battle,RGBT-EN032,Common,Gigastone Omega,NA,Monster,EARTH,Rock / Effect,Rock,Effect,5,1000 / 2300,1000,2300,79080761,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Summoning condition', 'Summoning condition', 'Trigger']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SECE-EN073 C.png,Secrets of Eternity,SECE-EN073,Common,Re-qliate,NA,Trap,NA,NA,NA,NA,NA,NA,NA,NA,20426907,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Trigger-like', 'Trigger-like', 'Continuous-like']",NA,Continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA
SHVI-EN022 UR.png,Shining Victories,SHVI-EN022,Ultra Rare,The White Stone of Ancients,NA,Monster,LIGHT,Dragon / Tuner / Effect,Dragon,Tuner,1,600 / 500,600,500,71039903,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Trigger', 'Ignition', 'Condition']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GFP2-EN095 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN095,Ultra Rare,Despian Comedy,NA,Monster,DARK,Fairy / Effect,Fairy,Effect,1,0 / 2000,0,2000,90179822,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Quick', 'Quick', 'Condition']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAST-EN006 R.png,Savage Strike,SAST-EN006,Rare,Speedburst Dragon,NA,Monster,DARK,Dragon / Effect,Dragon,Effect,6,2400 / 600,2400,600,12950294,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Trigger', 'Trigger', 'Condition']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSOC-EN078 C.png,Crossroads of Chaos,CSOC-EN078,Common,DNA Checkup,NA,Trap,NA,NA,NA,NA,NA,NA,NA,NA,27340877,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Effect'],NA,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA
SHVI-EN041 C.png,Shining Victories,SHVI-EN041,Common,Gendo the Ascetic Monk,NA,Monster,WATER,Spellcaster / Effect,Spellcaster,Effect,4,300 / 1800,300,1800,99000107,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Continuous', 'Continuous']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DREV-EN070 C.png,Duelist Revolution,DREV-EN070,Common,Scrap Rage,NA,Trap,NA,NA,NA,NA,NA,NA,NA,NA,59699355,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Activation requirement', 'Effect']",NA,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA
STON-EN047 C.png,Strike of Neos,STON-EN047,Common,Shien's Castle of Mist,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,11102908,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Continuous-like'],NA,Field,NA,NA,NA,NA,NA,NA,NA,NA,NA
STBL-EN052 C.png,Starstrike Blast,STBL-EN052,Common,Barkion's Bark,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,11813722,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Activation requirement', 'Effect']",NA,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAOV-EN048 ScR.png,Galactic Overlord,GAOV-EN048,Secret Rare,Hieratic Sun Dragon Overlord of Heliopolis,NA,Monster,LIGHT,Dragon / Xyz / Effect,Dragon,Xyz,NA,3000 / 2400,3000,2400,64332231,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Ignition'],NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
ANPR-EN040 UR.png,Ancient Prophecy,ANPR-EN040,Ultra Rare,Ancient Fairy Dragon,NA,Monster,LIGHT,Dragon / Synchro / Effect,Dragon,Synchro,7,2100 / 3000,2100,3000,25862681,"['Forbidden (Ocg)', 'Forbidden (Tcg Advanced)', 'Limited (Tcg Traditional)']","['Ignition', 'Condition', 'Ignition']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
